A-Train, Mike Alstott
All Day, Adrian Peterson
The Assassin, Jack Tatum
Avatar, Jimmy Graham
Bad Moon, Andre Rison
Baggadonuts, Frank Winters
The Bearded Pony, Andrew Luck
Beast Mode, Marshawn Lynch
Big Dick Nick, Nick Foles
Big Phil, Phil Loadholt
Blood, John McNally
Boob, Bernard Darling
Boomer, Bob Brown
Broadway Joe, Joe Namath
Buckets, Charles Goldenberg
The Bus, Jerome Bettis
Butt Kicker, Harrison Butker
Captain Comeback, Roger Staubach
The Claymaker, Clay Matthews
Cool Brees, Drew Brees
The Cowboy, Justin Smith
Crazy Legs, Elroy Hirsch
Curly, Earl Louis Lambeau
Danimal, Dan Hampton
Danny Dimes, Daniel Jones
Deacon, David Jones
Dicker the Kicker, Cameron Dicker
The Diesel, John Riggins
The Dodger, Roger Staubach
Easy E, Eli Manning
Edge, Edgerrin James
Famous Jameis, Jameis Winston
Fat Randy, Randy Bullock
Fatso, Art Donovan
The Freak, Jevon Kearse
The Fridge, William Perry
The Ghost, Dave Casper
Golden Boy, Paul Hornung
The Gray Ghost of Gonzaga, Tony Canadeo
Greasy, Earle Neale
The Gunslinger, Brett Favre
The Hangman, Chris Hanburger
Highway 63, Gene Upshaw
The Intellectual Assassin, Ron Mix
Joe Cool, Joe Montana
Johnny Football, Johnny Manziel
JJ Swatt, J. J. Watt
Jug, Francis Louis Earp
The Kraken, Greg Hardy
Law Firm, BenJarvus Green-Ellis
Legatron, Greg Zuerlein
The Lion, Leo Nomellini
Machine Gun Kelly, Jim Kelly
The Manster, Randy White
Mean Joe, Joe Greene
Megatron, Calvin Johnson
The Minister of Defense, Reggie White
The Missile, Qadry Ismail
Minitron, Julian Edelman
MJD, Maurice Jones-Drew
Money Badger, Michael Badgley
Money Mac, Evan McPherson
The Muscle Hamster, Doug Martin
Night Train, Dick Lane
Optimus Grimes, Brent Grimes
The Pocket Hercules, Maurice Jones-Drew
Pot Roast, Terrance Knighton
Primetime, Deion Sanders
Purple Jesus, Adrian Petersen
The Refrigerator, William Perry
Robo-QB, Todd Marinovich
Robo-sack, Rob Johnson
Robokicker, Dave Ridgway
Rocket, Raghib Ismail
Shady, LeSean McCoy
The Sheriff, Peyton Manning
Shooter, Evan McPherson
Showtime, Patrick Mahomes
Smoking, Jay Cutler
Snacks, Damon Harrison
The Snake, Kenny Stabler
The Stork, Ted Hendricks
Swede, Chester Johnston
Sweetness, Walter Payton
Tiny, Paul Engebretsen
Too Tall, Edward Lee Jones
The Toolbox, Ed West
The Tyler Rose, Earl Campbell
White Shoes, Billy Johnson
World, Jerry Rice
