Ack-Ack, Tom Heinsohn
Action Jackson, Mark Jackson
The Admiral, David Robinson
A.I., Allen Iverson
The Answer, Allen Iverson
The A-Train, Artis Gilmore
Big Ben, Ben Wallace
Big Country, Bryant Reeves
The Big Dipper, Wilt Chamberlain
Big Dog, Glenn Robinson
The Big E, Elvin Hayes
Big Nasty, Corliss Williamson
Big O, Oscar Robertson
Big Red, Dave Cowens
The Big Ticket, Kevin Garnett
Bimbo, Vernell Coles
Bird, George Yardley
Blue, Theo Edwards
Bo, Charles Outlaw
Buck, Charles Williams
Buddha, James Edwards
Buddy, Harry Jeannette
Butterbean, Bob Love
Cadillac, Greg Anderson
Cat, Cuttino Mobley
Chief, Robert Parish
Chocolate Thunder, Darryl Dawkins
The Chuckster, Charles Barkley
Clyde, Walt Frazier
Clyde The Glide, Clyde Drexler
Cornbread, Cedric Maxwell
DJ, Dennis Johnson
D Square, Dale Davis
Dee, DeCovan Kadell Brown
Doc, Glenn Rivers
Dr. Dunkenstein, Darrell Griffith
Dr. J, Julius Erving
Dr. Rounds, Dan Roundfield
Dollar Bill, Bill Bradley
Doug E. Fresh, Gerald Wilkins
The Dream, Hakeem Olajuwon
Dugie, Slater Martin
Earl The Pearl, Earl Monroe
The enormous Mormon, Shawn Bradley
Fast Eddie, Edward Johnson Jr.
Fat, Lafayette Lever
The Glove, Gary Payton
The Goat, Earl Manigault
Googs, Tom Gugliotta
Grandma-ma, Larry Johnson
Greyhound, Walter Davis
Hap or Happy, Harold Hairston
The Hawk, Connie Hawkins
The High Ayatolla of Slamola, Larry Nance
His Heinous, Bill Laimbeer
Hondo, John Havlicek
Horse, Dan Issel
Hot Rod, Rodney Hundley
The Houdini of the Hardwood, Bob Cousy
The Hoya Destroya, Patrick Ewing
The Human Highlight Reel, Dominique Wilkins
Iceman, George Gervin
Iso Joe, Joe Johnson
Jellybean, Joe Bryant
Junior, Ulysses Bridgeman
The Junk Yard Dog, Jerome Williams
Kangaroo Kid, Billy Cunningham
Larry Legend, Larry Bird
Lil Abner, Cliff Hagan
The Logo, Jerry West
Mad Max, Vernon Maxwell
Magic, Earvin Johnson
Make-A-Wish, "'Bronny James"'
The Mailman, Karl Malone
Microwave, Vinnie Johnson
Mighty Mouse, Damon Stoudamire
Mr. Big Shot, Chauncey Billups
Mr. Bill, Bill Cartwright
Mr. Clutch, Jerry West
Mr. Everything, Craig Ehlo
Mr. Mean, Larry Smith
Mr. Moves, Michael Russell
Moochie, Martyn Norris
Mookie, Daron Blaylock
Muggsy, Tyrone Bogues
Nate The Great, Nate Thurmond
Never Nervous, Pervis Ellison
Nick The Quick, Nick Van Exel
The Owl Without a Vowel, Bill Mlkvy
Peja, Predrag Stojaković
Penny, Anfernee Hardaway
Pistol Pete, Pete Maravich
Pitchin Paul, Paul Arizin
Pooh, Jerome Richardson
Popeye, Ronald Jones
The Reign Man, Shawn Kemp
Red, Johnny Kerr
Red, Ephraim J. Rocha
Rifleman, Chuck Person
Rip, Richard Hamilton
Rooney, Šarūnas Marčiulionis
The Round Mound of Rebound, Charles Barkley
Shaq, Shaquille O'Neal
Sheed, Rasheed Wallace
Silk, Jamaal Wilkes
Sir Charles, Charles Barkley
Sleepy, Eric Floyd
Smush, William Parker
Speedy, Craig Claxton
Spider, John Salley
Spud, Anthony Webb
The Squid, Sidney Moncrief
Starbury, Stephon Marbury
Stormin Norman, Norm Van Lier
Stumpy, Gail Goodrich
Sweetwater, Nathaniel Clifton
T-Mac, Tracy McGrady
Thunder Dan, Dan Majerle
Tiny, Nate Archibald
Tractor, Robert Traylor
Tree, Wayne Rollins
The Truth, Paul Pierce
Turbo, Deni Avdija
U.D., Udonis Haslem
The Waiter, Toni Kukoč
Wilt the Stilt, Wilt Chamberlain
The Wizard, Gus Williams
The Worm, Dennis Rodman
The X-Man, Xavier McDaniel
Zeke, Isiah Thomas
Zeke from Cabin Creek, Jerry West
