The Don, Donald Bradman
The Wall, Rahul Dravid
The Cat, Phil Tufnell
Creepy, John Crawley
Wireless, Joe Root
Chef, Alistair Cook
Beefy, Ian Botham
Banger, Marcus Trescothick
Pup, Michael Clarke
Smudge, Steve Smith
Baz, Brendon McCullum
The Big Show, Glenn Maxwell
White Lightning, Allan Donald
Steyn Gun, Dale Steyn
Alfie, Justin Langer
Haydos, Matthew Hayden
All Hands Zondeki, Monde Zondeki
Fizz, Mustafizur Rahman
Narail Express, Mashrafe Mortaza
Rawalpindi Express, Shoaib Akhtar
Little Master, Sachin Tendulkar
Dada, Sourav Ganguly
Boom Boom Afridi, Shahid Afridi
Gabbar, Shikhar Dhawan
Mr.360 Degree, AB de Villiers
Cheeku, Virat Kohli
Bhajji, Harbhajan Singh
Captain Cool, Mahendra Singh Dhoni
Hitman, Rohit Sharma
Slinga, Lasith Malinga
Dial M, Tim Murtagh
